StationID,Longitude,Latitude,Height,Remark,Distance_from_Zurich
8503067,8.6034,47.346056,611,Zollikerberg,5951.639719351292
8503068,8.631071,47.328178,659,Maiacher,8819.218342721415
8503069,8.583203999999999,47.351015999999994,524,Zürich Rehalp,4428.953737988142
8503072,8.672008,47.313346,604,Neuhaus bei Hinteregg,12271.912213014728
8503074,8.637845,47.325814,675,Neue Forch,9381.925082413958
8503075,8.617026,47.336796,651,Waltikon,7393.826289225624
8503077,8.596796000000001,47.347318,602,Spital Zollikerberg,5472.674514993132
8503078,8.593024,47.345476,590,Waldburg,5390.416384210182
8503081,8.507416000000001,47.310140000000004,810,Felsenegg,7958.219781706169
8503082,8.520055000000001,47.31317,452,Adliswil (Luftseilbahnstation),7385.952463981822
8503083,8.560281,47.368089000000005,443,"Zürich, Römerhof",1883.2870353452515
8503084,8.574530000000001,47.373203000000004,606,"Zürich, Dolder",2644.139909460099
8503086,8.526232,47.352123999999996,422,Zürich Brunau,3081.853380869746
8503087,8.522143,47.357407,420,Zürich Saalsporthalle,2679.8412609155184
8503088,8.53917,47.377431,396,Zürich HB SZU,113.14930069563538
8503089,8.535652,47.296571,458,Wildpark-Höfli,9080.619914518948
8503090,8.532033,47.372938,414,Zürich Selnau,846.6518878119144
8503091,8.521849000000001,47.362456,418,Zürich Giesshübel,2228.006202374007
8503093,8.519679,47.338378000000006,431,Zürich Manegg,4687.432902993854
8503094,8.519603,47.334601,435,Zürich Leimbach,5087.58644640784
8503095,8.521441000000001,47.319571,443,Sood-Oberleimbach,6668.0485837968945
8503096,8.524164,47.312304,452,Adliswil,7423.62252159045
8503097,8.544019,47.286875,468,Langnau-Gattikon,10156.414937036847
8503098,8.557497,47.268277000000005,488,Sihlwald,12289.736964268108
8503099,8.525247,47.303155,456,Sihlau,8417.729587262147
8503100,8.569717,47.337332,415,Zollikon,5057.04113892633
8503101,8.580615,47.319153,415,Küsnacht ZH,7235.308820091122
8503102,8.591503999999999,47.305786,419,Erlenbach ZH,8929.870091267381
8503103,8.612719,47.281824,423,Herrliberg-Feldmeilen,12027.72737909913
8503104,8.644293,47.269813,420,Meilen,14379.088799601228
8503111,8.598975,47.297201,520,Winkel am Zürichsee,10034.69063663818
8503125,8.718688,47.350367,464,Uster,13794.70466555812
8503126,8.686399,47.369359,449,Nänikon-Greifensee,11053.346977366054
8503127,8.658659,47.384381,443,Schwerzenbach ZH,8946.243548330194
8503128,8.623407,47.400076,440,Dübendorf,6721.105496042411
8503129,8.591911,47.412717,431,Wallisellen,5468.640236320945
8503141,8.575951,47.326854,417,Küsnacht Goldbach,6310.701105998602
8503147,8.596132,47.397213,450,Stettbach,4713.346667359837
8503150,8.693218,47.389588,475,"Volketswil, Dorf",11590.709617422464
8503151,8.681512,47.389165999999996,444,"Volketswil, Zentrum",10709.704582688762
8503152,8.710739,47.361140999999996,465,"Uster, Brandschenke",12982.58263612986
8503154,8.667555,47.381903,475,"Volketswil, Volkiland Chliriet",9598.574143552029
8503155,8.683463,47.379708,460,"Volketswil, Chrummacher",10788.9675072578
8503156,8.676235,47.388386,462,"Volketswil, Hegnau",10305.262309258072
8503157,8.714497999999999,47.384902000000004,525,"Gutenswil, Unterdorf",13145.051681124802
8503168,8.710094,47.326353999999995,440,"Riedikon, Chis/Naturstation",14036.647191222753
8503189,8.711332,47.332205,445,"Riedikon, Dorf",13868.319735959876
8503200,8.547999,47.324428000000005,424,Kilchberg,6005.484699345952
8503201,8.555150999999999,47.307133,433,Rüschlikon,7979.734496152342
8503202,8.564755,47.295975,435,Thalwil,9325.97111823663
8503203,8.578449,47.279676,424,Oberrieden,11325.965711482742
8503204,8.596903999999999,47.261483,409,Horgen,13661.840243136523
8503253,8.733222999999999,47.349340999999995,500,"Uster, Hegetsberg",14887.882199758373
8503254,8.702177,47.34454,450,"Uster, Post Niederuster",12761.200775954905
8503303,8.722703,47.40882,517,Illnau,14154.646126972684
8503304,8.70557,47.452834,469,Kemptthal,14958.47920861478
8503305,8.686662,47.425810999999996,511,Effretikon,12230.122310007982
8503306,8.619255,47.420195,445,Dietlikon,7565.787817302803
8503307,8.626199,47.438564,455,Bassersdorf,9326.213620366405
8503308,8.583791,47.448608,447,Kloten,8490.945674183475
8503309,8.570701,47.442287,440,Kloten Balsberg,7489.27520665132
8503310,8.558832,47.430826,432,Glattbrugg,6020.029896249214
8503311,8.532745,47.454066999999995,430,Rümlang,8457.16561620507
8503312,8.510603999999999,47.470203999999995,430,Oberglatt,10472.234659471147
8503313,8.503296,47.487469,424,Niederglatt,12465.573582330951
8503314,8.488691000000001,47.478328999999995,424,Niederhasli,11791.02702750624
8503315,8.459421,47.482414,429,Dielsdorf,13086.529367860048
8503316,8.44684,47.489981,451,Steinmaur,14277.901370802574
8503340,8.561769,47.429952,427,Opfikon,5981.752025972136
8503350,8.683641,47.408285,497,"Kindhausen ZH, Geeren",11305.179566702598
8503351,8.695414,47.41252,520,"Bisikon, Dorf",12292.074239848114
8503370,8.701062,47.423819,511,"Effretikon, Eselriet",13128.329838096146
8503371,8.717424000000001,47.416335,517,"Illnau, Löwen",13998.599696185103
8503372,8.694116000000001,47.427124,511,"Effretikon, Wattspitz",12799.369868103771
8503374,8.701251,47.445181,492,"Grafstal, Unterdorf",14226.41456946624
8503376,8.716939,47.435311999999996,578,Ottikon b. Kemptthal,14740.54580344464
8503377,8.671489999999999,47.441472,530,"Lindau, Dorf",12130.76018250071
8503378,8.671923,47.430403999999996,511,"Tagelswangen, Dorf",11489.64605392937
8503380,8.693056,47.456406,578,"Winterberg ZH, Dorf",14420.559845853522
