Day,Trip_ID,Type,Line_ID,Start_Station,Start_ID,Start_Time,Start_Delay,Stop_Station,Stop_ID,Stop_Time,Stop_Delay
2019-02-12,85:11:18249:001,Zug,18249,Zürich Oerlikon,8503006,2019-02-12 13:11:00,0.0,Zürich HB,8503000,2019-02-12 13:16:00,0.0
2019-02-12,85:11:18249:001,Zug,18249,Zürich HB,8503000,2019-02-12 13:17:00,0.0,Zürich Wiedikon,8503011,2019-02-12 13:19:00,0.0
2019-02-12,85:11:18249:001,Zug,18249,Zürich Wiedikon,8503011,2019-02-12 13:19:00,0.0,Zürich Enge,8503010,2019-02-12 13:23:00,0.0
2019-02-12,85:11:18250:001,Zug,18250,Zürich Enge,8503010,2019-02-12 13:36:00,0.0,Zürich Wiedikon,8503011,2019-02-12 13:37:00,0.0
2019-02-12,85:11:18250:001,Zug,18250,Zürich Wiedikon,8503011,2019-02-12 13:37:00,0.0,Zürich HB,8503000,2019-02-12 13:42:00,0.0
2019-02-12,85:11:18250:001,Zug,18250,Zürich HB,8503000,2019-02-12 13:44:00,0.0,Zürich Oerlikon,8503006,2019-02-12 13:48:00,0.0
2019-02-12,85:11:18251:001,Zug,18251,Zürich Oerlikon,8503006,2019-02-12 13:41:00,0.0,Zürich HB,8503000,2019-02-12 13:46:00,0.0
2019-02-12,85:11:18251:001,Zug,18251,Zürich HB,8503000,2019-02-12 13:47:00,0.0,Zürich Wiedikon,8503011,2019-02-12 13:49:00,0.0
2019-02-12,85:11:18251:001,Zug,18251,Zürich Wiedikon,8503011,2019-02-12 13:49:00,0.0,Zürich Enge,8503010,2019-02-12 13:53:00,0.0
2019-02-12,85:11:18252:001,Zug,18252,Zürich Enge,8503010,2019-02-12 14:06:00,0.0,Zürich Wiedikon,8503011,2019-02-12 14:07:00,0.0
2019-02-12,85:11:18252:001,Zug,18252,Zürich Wiedikon,8503011,2019-02-12 14:07:00,0.0,Zürich HB,8503000,2019-02-12 14:12:00,0.0
2019-02-12,85:11:18252:001,Zug,18252,Zürich HB,8503000,2019-02-12 14:14:00,0.0,Zürich Oerlikon,8503006,2019-02-12 14:18:00,0.0
2019-02-12,85:11:18253:001,Zug,18253,Zürich Oerlikon,8503006,2019-02-12 14:11:00,0.0,Zürich HB,8503000,2019-02-12 14:16:00,0.0
2019-02-12,85:11:18253:001,Zug,18253,Zürich HB,8503000,2019-02-12 14:17:00,0.0,Zürich Wiedikon,8503011,2019-02-12 14:19:00,0.0
2019-02-12,85:11:18253:001,Zug,18253,Zürich Wiedikon,8503011,2019-02-12 14:19:00,0.0,Zürich Enge,8503010,2019-02-12 14:23:00,0.0
2019-02-12,85:11:18254:001,Zug,18254,Zürich Enge,8503010,2019-02-12 14:36:00,0.0,Zürich Wiedikon,8503011,2019-02-12 14:37:00,0.0
2019-02-12,85:11:18254:001,Zug,18254,Zürich Wiedikon,8503011,2019-02-12 14:37:00,0.0,Zürich HB,8503000,2019-02-12 14:42:00,0.0
2019-02-12,85:11:18254:001,Zug,18254,Zürich HB,8503000,2019-02-12 14:44:00,0.0,Zürich Oerlikon,8503006,2019-02-12 14:48:00,0.0
2019-02-12,85:11:18255:001,Zug,18255,Zürich Oerlikon,8503006,2019-02-12 14:41:00,0.0,Zürich HB,8503000,2019-02-12 14:46:00,0.0
2019-02-12,85:11:18255:001,Zug,18255,Zürich HB,8503000,2019-02-12 14:47:00,0.0,Zürich Wiedikon,8503011,2019-02-12 14:49:00,0.0
2019-02-12,85:11:18255:001,Zug,18255,Zürich Wiedikon,8503011,2019-02-12 14:49:00,0.0,Zürich Enge,8503010,2019-02-12 14:53:00,0.0
2019-02-12,85:11:18256:001,Zug,18256,Zürich Enge,8503010,2019-02-12 15:06:00,0.0,Zürich Wiedikon,8503011,2019-02-12 15:07:00,0.0
2019-02-12,85:11:18256:001,Zug,18256,Zürich Wiedikon,8503011,2019-02-12 15:07:00,0.0,Zürich HB,8503000,2019-02-12 15:12:00,0.0
2019-02-12,85:11:18256:001,Zug,18256,Zürich HB,8503000,2019-02-12 15:14:00,0.0,Zürich Oerlikon,8503006,2019-02-12 15:18:00,0.0
2019-02-12,85:11:18257:001,Zug,18257,Zürich Oerlikon,8503006,2019-02-12 15:11:00,0.0,Zürich HB,8503000,2019-02-12 15:16:00,0.0
2019-02-12,85:11:18257:001,Zug,18257,Zürich HB,8503000,2019-02-12 15:17:00,0.0,Zürich Wiedikon,8503011,2019-02-12 15:19:00,0.0
2019-02-12,85:11:18257:001,Zug,18257,Zürich Wiedikon,8503011,2019-02-12 15:19:00,0.0,Zürich Enge,8503010,2019-02-12 15:23:00,0.0
2019-02-12,85:11:18258:001,Zug,18258,Zürich Enge,8503010,2019-02-12 15:36:00,0.0,Zürich Wiedikon,8503011,2019-02-12 15:37:00,0.0
2019-02-12,85:11:18258:001,Zug,18258,Zürich Wiedikon,8503011,2019-02-12 15:37:00,0.0,Zürich HB,8503000,2019-02-12 15:42:00,0.0
2019-02-12,85:11:18258:001,Zug,18258,Zürich HB,8503000,2019-02-12 15:44:00,0.0,Zürich Oerlikon,8503006,2019-02-12 15:48:00,0.0
2019-02-12,85:11:18259:001,Zug,18259,Zürich Oerlikon,8503006,2019-02-12 15:41:00,0.0,Zürich HB,8503000,2019-02-12 15:46:00,0.0
2019-02-12,85:11:18259:001,Zug,18259,Zürich HB,8503000,2019-02-12 15:47:00,0.0,Zürich Wiedikon,8503011,2019-02-12 15:49:00,0.0
2019-02-12,85:11:18259:001,Zug,18259,Zürich Wiedikon,8503011,2019-02-12 15:49:00,0.0,Zürich Enge,8503010,2019-02-12 15:53:00,0.0
2019-02-12,85:11:18260:001,Zug,18260,Zürich Enge,8503010,2019-02-12 16:06:00,0.0,Zürich Wiedikon,8503011,2019-02-12 16:07:00,0.0
2019-02-12,85:11:18260:001,Zug,18260,Zürich Wiedikon,8503011,2019-02-12 16:07:00,0.0,Zürich HB,8503000,2019-02-12 16:12:00,0.0
2019-02-12,85:11:18261:001,Zug,18261,Zürich Oerlikon,8503006,2019-02-12 16:11:00,0.0,Zürich HB,8503000,2019-02-12 16:16:00,0.0
2019-02-12,85:11:18261:001,Zug,18261,Zürich HB,8503000,2019-02-12 16:17:00,0.0,Zürich Wiedikon,8503011,2019-02-12 16:19:00,0.0
