id1,lon1,lat1,id2,lon2,lat2,Distance,Walking_time
8503651,8.540788000000001,47.366009999999996,8591105,8.540341,47.366824,317.1722310621416,501
8503653,8.553125,47.352624,8503653,8.553125,47.352624,0.0,120
8503681,8.536699,47.34554,8503681,8.536699,47.34554,0.0,120
8530471,8.546402,47.376858,8503500,8.546402,47.376858,0.0,120
8530471,8.546402,47.376858,8530471,8.546402,47.376858,0.0,120
8530472,8.548919999999999,47.385883,8530472,8.548919999999999,47.385883,0.0,120
8530472,8.548919999999999,47.385883,8591164,8.550158999999999,47.386204,328.02267060244543,514
8530472,8.548919999999999,47.385883,8591362,8.548364999999999,47.385915999999995,137.75962508256956,285
8530473,8.553414,47.387333,8530473,8.553414,47.387333,0.0,120
8530473,8.553414,47.387333,8591156,8.552526,47.387297,219.95769342532472,384
8530811,8.57502,47.354578000000004,8530811,8.57502,47.354578000000004,0.0,120
8530812,8.560623,47.36169,8530812,8.560623,47.36169,0.0,120
8530813,8.554083,47.364875,8530813,8.554083,47.364875,0.0,120
8530822,8.542632000000001,47.373233,8530822,8.542632000000001,47.373233,0.0,120
8530822,8.542632000000001,47.373233,8591327,8.543238,47.374352,435.27974699862415,642
8573710,8.524189,47.371429,8503011,8.523462,47.371472,180.49454545220055,337
8573710,8.524189,47.371429,8573710,8.524189,47.371429,0.0,120
8573711,8.485158,47.368227000000005,8573711,8.485158,47.368227000000005,0.0,120
8576182,8.560994,47.350415999999996,8503004,8.561372,47.350124,141.84373133551784,290
8576182,8.560994,47.350415999999996,8576182,8.560994,47.350415999999996,0.0,120
8576183,8.567319,47.342797999999995,8576183,8.567319,47.342797999999995,0.0,120
8576193,8.545113,47.367093,8576193,8.545113,47.367093,0.0,120
8576194,8.550228,47.357797,8576194,8.550228,47.357797,0.0,120
8576195,8.547647,47.365414,8503003,8.548466000000001,47.366611,481.8092497282149,698
8576195,8.547647,47.365414,8503059,8.54813,47.366353000000004,363.1425632364156,556
8576195,8.547647,47.365414,8576195,8.547647,47.365414,0.0,120
8576196,8.549471,47.36339,8576196,8.549471,47.36339,0.0,120
8576197,8.552059,47.360514,8576197,8.552059,47.360514,0.0,120
8576198,8.554203999999999,47.357991999999996,8576198,8.554203999999999,47.357991999999996,0.0,120
8576199,8.556898,47.355169000000004,8576199,8.556898,47.355169000000004,0.0,120
8576200,8.559577,47.352282,8576200,8.559577,47.352282,0.0,120
8576201,8.566154,47.345921999999995,8576201,8.566154,47.345921999999995,0.0,120
8576202,8.56963,47.343207,8576202,8.56963,47.343207,0.0,120
8576240,8.499375,47.402009,8576240,8.499375,47.402009,0.0,120
8576240,8.499375,47.402009,8591223,8.498242,47.402964000000004,447.2973352419451,657
8580449,8.544789999999999,47.411496,8503006,8.544115,47.411528999999994,167.25675657987733,321
8580449,8.544789999999999,47.411496,8580449,8.544789999999999,47.411496,0.0,120
8580449,8.544789999999999,47.411496,8591062,8.543934,47.412403999999995,393.3404684975569,592
8580522,8.522397999999999,47.390795000000004,8580522,8.522397999999999,47.390795000000004,0.0,120
8580912,8.501841,47.368903,8580912,8.501841,47.368903,0.0,120
8587347,8.536019,47.342731,8587347,8.536019,47.342731,0.0,120
8587348,8.539338,47.377241,8503000,8.540192,47.378177,401.8110520444312,602
8587348,8.539338,47.377241,8503088,8.53917,47.377431,80.87617756179236,217
8587348,8.539338,47.377241,8587348,8.539338,47.377241,0.0,120
8587348,8.539338,47.377241,8591067,8.539946,47.37656,290.6240789314394,469
8587349,8.541742,47.377559999999995,8503000,8.540192,47.378177,444.6416307076613,654
8587349,8.541742,47.377559999999995,8503446,8.541715,47.378846,469.699629699791,684
8587349,8.541742,47.377559999999995,8587349,8.541742,47.377559999999995,0.0,120
8587349,8.541742,47.377559999999995,8591288,8.543185000000001,47.377555,356.86289722023133,548
8588078,8.543938,47.376846,8503499,8.544038,47.376539,114.81272079000983,258
8588078,8.543938,47.376846,8588078,8.543938,47.376846,0.0,120
