id1,lon1,lat1,h1,id2,lon2,lat2,h2,dh,Distance(m),speed,Transfer_time (s)
8502223,8.445953,47.298783,497,8502223,8.445953,47.298783,497,0.0,0.0,50.0,120
8502223,8.445953,47.298783,497,8582722,8.448232,47.299726,497,0.0,216.67502958523053,50.0,360
8502224,8.446582000000001,47.276065,494,8502224,8.446582000000001,47.276065,494,0.0,0.0,50.0,120
8502224,8.446582000000001,47.276065,494,8573178,8.446603999999999,47.275813,494,0.0,28.08083633756773,50.0,120
8502229,8.43033,47.380971,456,8502229,8.43033,47.380971,456,0.0,0.0,50.0,120
8502229,8.43033,47.380971,456,8590834,8.429969,47.380093,450,-6.0,102.32151816664968,50.06,240
8502229,8.43033,47.380971,456,8590849,8.425930000000001,47.382259000000005,432,-24.0,393.8625050549126,50.24,540
8502268,8.359233999999999,47.357579,523,8502188,8.354599,47.355907,445,-78.0,435.16999684252227,50.78,600
8502268,8.359233999999999,47.357579,523,8502268,8.359233999999999,47.357579,523,0.0,0.0,50.0,120
8502270,8.399086,47.397714,415,8502186,8.398942,47.393407,428,13.0,479.2427525892956,49.87,660
8502270,8.399086,47.397714,415,8502270,8.399086,47.397714,415,0.0,0.0,50.0,120
8502270,8.399086,47.397714,415,8517376,8.400912,47.401989,394,-21.0,499.49357932817804,50.21,660
8502270,8.399086,47.397714,415,8590220,8.394478,47.399281,403,-12.0,421.3346859504582,50.12,600
8502273,8.346555,47.351473,386,8502273,8.346555,47.351473,386,0.0,0.0,50.0,120
8502273,8.346555,47.351473,386,8517377,8.350274,47.353792,400,14.0,403.0430454605172,49.86,600
8502273,8.346555,47.351473,386,8572747,8.346174000000001,47.351692,386,0.0,39.974341690879264,50.0,120
8502273,8.346555,47.351473,386,8580847,8.349997,47.353839,386,0.0,388.8924959791635,50.0,540
8502273,8.346555,47.351473,386,8582462,8.348195,47.347557,388,2.0,456.32200189476526,49.98,660
8502273,8.346555,47.351473,386,8582529,8.350062,47.352264,386,0.0,304.7669938371877,50.0,480
8502274,8.354713,47.352524,410,8502188,8.354599,47.355907,445,35.0,377.9162330367401,49.65,540
8502274,8.354713,47.352524,410,8502274,8.354713,47.352524,410,0.0,0.0,50.0,120
8502274,8.354713,47.352524,410,8517377,8.350274,47.353792,400,-10.0,395.47173083202455,50.1,540
8502274,8.354713,47.352524,410,8576164,8.355917999999999,47.350248,410,0.0,272.2151896595294,50.0,420
8502274,8.354713,47.352524,410,8580847,8.349997,47.353839,386,-24.0,419.4421036441788,50.24,600
8502274,8.354713,47.352524,410,8582529,8.350062,47.352264,386,-24.0,388.80157427122566,50.24,540
8502275,8.354783,47.362013,475,8502275,8.354783,47.362013,475,0.0,0.0,50.0,120
8502276,8.366793,47.362187,550,8502276,8.366793,47.362187,550,0.0,0.0,50.0,120
8502276,8.366793,47.362187,550,8572560,8.366760000000001,47.361801,550,0.0,43.00897773278547,50.0,120
8502276,8.366793,47.362187,550,8580728,8.365239,47.365708000000005,548,-2.0,412.3223688777151,50.02,600
8502276,8.366793,47.362187,550,8580729,8.36608,47.364577000000004,550,0.0,272.2973451511851,50.0,420
8502277,8.38118,47.369501,471,8502277,8.38118,47.369501,471,0.0,0.0,50.0,120
8502278,8.396230000000001,47.384731,428,8502278,8.396230000000001,47.384731,428,0.0,0.0,50.0,120
8502553,8.380476,47.322157000000004,401,8502553,8.380476,47.322157000000004,401,0.0,0.0,50.0,120
8502553,8.380476,47.322157000000004,401,8572646,8.380158,47.32063,397,-4.0,171.89016986158936,50.04,300
8502559,8.463472,47.368305,588,8502559,8.463472,47.368305,588,0.0,0.0,50.0,120
8502559,8.463472,47.368305,588,8503055,8.46598,47.365836,620,32.0,346.32544267171403,49.68,480
8502559,8.463472,47.368305,588,8503709,8.462003,47.368336,585,-3.0,122.31449492711653,50.03,240
8502559,8.463472,47.368305,588,8574684,8.458724,47.369256,555,-33.0,410.3012002875482,50.33,600
8502559,8.463472,47.368305,588,8574739,8.462348,47.364933,555,-33.0,387.8426534213336,50.33,540
8502559,8.463472,47.368305,588,8575014,8.465034,47.366222,620,32.0,267.5109393900014,49.68,420
8502560,8.371417,47.35105,553,8502560,8.371417,47.35105,553,0.0,0.0,50.0,120
8502570,8.372088,47.319059,393,8502570,8.372088,47.319059,393,0.0,0.0,50.0,120
8502572,8.513917999999999,47.370293,421,8502572,8.513917999999999,47.370293,421,0.0,0.0,50.0,120
8502572,8.513917999999999,47.370293,421,8591075,8.513825,47.373585999999996,415,-6.0,366.295798715392,50.06,540
8502572,8.513917999999999,47.370293,421,8591195,8.511037,47.367945,426,5.0,354.4737072607766,49.95,540
8502572,8.513917999999999,47.370293,421,8591341,8.519264,47.370153,414,-7.0,445.14492627679004,50.07,600
8502572,8.513917999999999,47.370293,421,8591390,8.509647,47.369946,424,3.0,357.471811020935,49.97,540
8502572,8.513917999999999,47.370293,421,8591447,8.515955,47.371506,416,-5.0,216.6682608040258,50.05,360
8502574,8.459105000000001,47.278464,494,8502574,8.459105000000001,47.278464,494,0.0,0.0,50.0,120
8502574,8.459105000000001,47.278464,494,8502953,8.454412,47.281222,494,0.0,496.49412392579126,50.0,660
8502574,8.459105000000001,47.278464,494,8580268,8.457386,47.281196,494,0.0,335.76762379300595,50.0,480
8502574,8.459105000000001,47.278464,494,8582763,8.461310000000001,47.279758,494,0.0,233.1483794247544,50.0,360
8502575,8.36359,47.367574,560,8502575,8.36359,47.367574,560,0.0,0.0,50.0,120
8502575,8.36359,47.367574,560,8580728,8.365239,47.365708000000005,548,-12.0,249.03960569572774,50.12,360
8502575,8.36359,47.367574,560,8580729,8.36608,47.364577000000004,550,-10.0,392.5276540021087,50.1,540
8502750,8.343375,47.389509999999994,590,8502750,8.343375,47.389509999999994,590,0.0,0.0,50.0,120
8502750,8.343375,47.389509999999994,590,8572561,8.344033999999999,47.388534,590,0.0,121.5920429551283,50.0,240
8502758,8.532976,47.244746,617,8502758,8.532976,47.244746,617,0.0,0.0,50.0,120
8502762,8.520693,47.276148,789,8502762,8.520693,47.276148,789,0.0,0.0,50.0,120
8502762,8.520693,47.276148,789,8573158,8.51781,47.274745,468,-321.0,430.0103711455567,53.21,600
8502763,8.517241,47.262976,617,8502763,8.517241,47.262976,617,0.0,0.0,50.0,120
8502764,8.522037,47.259018,617,8502764,8.522037,47.259018,617,0.0,0.0,50.0,120
8502771,8.485345,47.26783,700,8502771,8.485345,47.26783,700,0.0,0.0,50.0,120
8502776,8.551113,47.284728,510,8502776,8.551113,47.284728,510,0.0,0.0,50.0,120
8502776,8.551113,47.284728,510,8573162,8.545611,47.283306,435,-75.0,490.0615117583256,50.75,660
8502776,8.551113,47.284728,510,8573163,8.555094,47.285464000000005,435,-75.0,349.3211150471374,50.75,480
8502779,8.40452,47.281651000000004,421,8502779,8.40452,47.281651000000004,421,0.0,0.0,50.0,120
8502779,8.40452,47.281651000000004,421,8572605,8.402261,47.2839,412,-9.0,312.96034022335857,50.09,480
8502779,8.40452,47.281651000000004,421,8572606,8.407425,47.277803000000006,421,0.0,491.4149100684207,50.0,660
8502779,8.40452,47.281651000000004,421,8582790,8.404867,47.281828000000004,421,0.0,34.940212322659896,50.0,120
8502779,8.40452,47.281651000000004,421,8583363,8.409194,47.284247,470,49.0,486.77700551221733,49.51,660
8502876,8.438705,47.338209,537,8502876,8.438705,47.338209,537,0.0,0.0,50.0,120
8502876,8.438705,47.338209,537,8583755,8.436334,47.334523,555,18.0,455.22186648876306,49.82,660
8502879,8.395514,47.296181,398,8502879,8.395514,47.296181,398,0.0,0.0,50.0,120
8502879,8.395514,47.296181,398,8570706,8.398017,47.293426000000004,419,21.0,371.0132239746878,49.79,540
8502879,8.395514,47.296181,398,8572603,8.393854,47.299469,423,25.0,391.62570855533295,49.75,540
8502883,8.432188,47.287397999999996,468,8502883,8.432188,47.287397999999996,468,0.0,0.0,50.0,120
8502885,8.467781,47.315088,528,8502885,8.467781,47.315088,528,0.0,0.0,50.0,120
8502885,8.467781,47.315088,528,8573728,8.463061999999999,47.316632,538,10.0,428.6429722554731,49.9,600
8502885,8.467781,47.315088,528,8573729,8.472567999999999,47.314343,550,22.0,407.39749718859713,49.78,600
8502885,8.467781,47.315088,528,8583805,8.462366000000001,47.316872,536,8.0,492.3437448888826,49.92,660
8502894,8.386391,47.337165999999996,530,8502894,8.386391,47.337165999999996,530,0.0,0.0,50.0,120
8502894,8.386391,47.337165999999996,530,8581346,8.382888000000001,47.339596,553,23.0,398.110539593675,49.77,540
8502950,8.437173,47.353936,468,8502221,8.437543,47.357432,488,20.0,390.4672059436473,49.8,540
8502950,8.437173,47.353936,468,8502950,8.437173,47.353936,468,0.0,0.0,50.0,120
8502950,8.437173,47.353936,468,8573718,8.438805,47.356945,488,20.0,361.6454510113949,49.8,540
8502950,8.437173,47.353936,468,8573719,8.438321,47.350895,470,2.0,351.38073758785447,49.98,540
8502950,8.437173,47.353936,468,8583870,8.437009,47.357176,475,7.0,360.59785263744396,49.93,540
8502953,8.454412,47.281222,494,8502574,8.459105000000001,47.278464,494,0.0,496.4771651004857,50.0,660
8502953,8.454412,47.281222,494,8502953,8.454412,47.281222,494,0.0,0.0,50.0,120
8502953,8.454412,47.281222,494,8580268,8.457386,47.281196,494,0.0,247.4466444773379,50.0,360
8502953,8.454412,47.281222,494,8582723,8.453106,47.285524,497,3.0,490.55587785334234,49.97,660
8502955,8.38868,47.313382,439,8502955,8.38868,47.313382,439,0.0,0.0,50.0,120
8502955,8.38868,47.313382,439,8572602,8.388917999999999,47.313362,435,-4.0,20.32375304046117,50.04,120
8502955,8.38868,47.313382,439,8573722,8.392763,47.312386,465,26.0,358.2468855166369,49.74,540
8502955,8.38868,47.313382,439,8573723,8.390722,47.311395000000005,439,0.0,278.71083584862293,50.0,420
8502963,8.529762,47.24905,617,8502963,8.529762,47.24905,617,0.0,0.0,50.0,120
8502979,8.396906,47.341289,593,8502979,8.396906,47.341289,593,0.0,0.0,50.0,120
8502979,8.396906,47.341289,593,8572596,8.401064,47.341479,610,17.0,347.02069918325157,49.83,480
8502979,8.396906,47.341289,593,8572597,8.394031,47.341115,588,-5.0,240.0419927370734,50.05,360
8502992,8.527894,47.285769,478,8502992,8.527894,47.285769,478,0.0,0.0,50.0,120
8502992,8.527894,47.285769,478,8503862,8.533142999999999,47.287707,478,0.0,486.98973062753976,50.0,660
8502992,8.527894,47.285769,478,8503887,8.529893,47.282672999999996,478,0.0,382.32549999334753,50.0,540
8502992,8.527894,47.285769,478,8590706,8.533826,47.286234,525,47.0,498.45533382570096,49.53,720
8503000,8.540192,47.378177,408,8503000,8.540192,47.378177,408,0.0,0.0,50.0,120
8503000,8.540192,47.378177,408,8503088,8.53917,47.377431,396,-12.0,119.3990084346536,50.12,240
8503000,8.540192,47.378177,408,8503446,8.541715,47.378846,480,72.0,163.63635976106778,49.28,300
8503000,8.540192,47.378177,408,8503499,8.544038,47.376539,409,1.0,368.21091085822997,49.99,540
8503000,8.540192,47.378177,408,8587348,8.539338,47.377241,408,0.0,126.02188021728891,50.0,240
8503000,8.540192,47.378177,408,8587349,8.541742,47.377559999999995,408,0.0,146.08224950040534,50.0,240
8503000,8.540192,47.378177,408,8588078,8.543938,47.376846,408,0.0,345.0406346987858,50.0,480
8503000,8.540192,47.378177,408,8591067,8.539946,47.37656,408,0.0,180.96349720645992,50.0,300
8503000,8.540192,47.378177,408,8591174,8.544513,47.379647,431,23.0,395.62190757140644,49.77,540
8503000,8.540192,47.378177,408,8591262,8.537417,47.375892,409,1.0,343.3208324115225,49.99,480
8503000,8.540192,47.378177,408,8591288,8.543185000000001,47.377555,409,1.0,258.4631580755345,49.99,420
8503000,8.540192,47.378177,408,8591327,8.543238,47.374352,407,-1.0,495.1048507049561,50.01,660
8503000,8.540192,47.378177,408,8591368,8.537605000000001,47.379875,407,-1.0,286.33251374883747,50.01,420
8503000,8.540192,47.378177,408,8591379,8.542811,47.37996,415,7.0,294.6968264312731,49.93,420
8503001,8.48894,47.391481,399,8503001,8.48894,47.391481,399,0.0,0.0,50.0,120
8503001,8.48894,47.391481,399,8591056,8.488375999999999,47.391109,399,0.0,62.556769360129174,50.0,180
8503001,8.48894,47.391481,399,8591057,8.489905,47.392066,398,-1.0,103.34316785731838,50.01,240
8503001,8.48894,47.391481,399,8591070,8.490144,47.388763,401,2.0,318.40464527888173,49.98,480
8503001,8.48894,47.391481,399,8591097,8.487058,47.390077000000005,400,1.0,221.12345296941382,49.99,360
8503001,8.48894,47.391481,399,8591167,8.489212,47.39523,398,-1.0,417.4849501915519,50.01,600
8503001,8.48894,47.391481,399,8591258,8.486113000000001,47.387819,402,3.0,470.261028980537,49.97,660
8503001,8.48894,47.391481,399,8591265,8.493575,47.389433000000004,399,0.0,447.8758482534203,50.0,600
8503001,8.48894,47.391481,399,8591361,8.48435,47.391802,398,-1.0,383.5901643504785,50.01,540
8503001,8.48894,47.391481,399,8591372,8.488495,47.387725,403,4.0,419.3052513589588,49.96,600
8503001,8.48894,47.391481,399,8591896,8.492583999999999,47.392258,408,9.0,315.40891664589225,49.91,480
8503003,8.548466000000001,47.366611,411,8503003,8.548466000000001,47.366611,411,0.0,0.0,50.0,120
8503003,8.548466000000001,47.366611,411,8503059,8.54813,47.366353000000004,411,0.0,40.05758122974924,50.0,120
8503003,8.548466000000001,47.366611,411,8576193,8.545113,47.367093,408,-3.0,284.10666175147855,50.03,420
8503003,8.548466000000001,47.366611,411,8576195,8.547647,47.365414,415,4.0,149.5839538958113,49.96,240
8503003,8.548466000000001,47.366611,411,8576196,8.549471,47.36339,415,4.0,367.8122454601323,49.96,540
8503003,8.548466000000001,47.366611,411,8591239,8.549141,47.370437,423,12.0,429.2910699453352,49.88,600
8503003,8.548466000000001,47.366611,411,8591375,8.552258,47.367492,425,14.0,330.6725878944391,49.86,480
8503004,8.561372,47.350124,408,8503004,8.561372,47.350124,408,0.0,0.0,50.0,120
8503004,8.561372,47.350124,408,8576182,8.560994,47.350415999999996,408,0.0,45.20408134142557,50.0,120
8503004,8.561372,47.350124,408,8576200,8.559577,47.352282,408,0.0,282.64277888395276,50.0,420
8503004,8.561372,47.350124,408,8591440,8.566544,47.351846,457,49.0,473.5569964212531,49.51,660
8503006,8.544115,47.411528999999994,442,8503006,8.544115,47.411528999999994,442,0.0,0.0,50.0,120
8503006,8.544115,47.411528999999994,442,8580449,8.544789999999999,47.411496,408,-34.0,65.75807741808,50.34,180
8503006,8.544115,47.411528999999994,442,8591062,8.543934,47.412403999999995,441,-1.0,98.45944023451561,50.01,180
8503006,8.544115,47.411528999999994,442,8591063,8.545848,47.413339,438,-4.0,247.62416332373837,50.04,360
8503006,8.544115,47.411528999999994,442,8591272,8.541331,47.414048,439,-3.0,363.4996062512353,50.03,540
8503006,8.544115,47.411528999999994,442,8591382,8.546231,47.410070000000005,443,1.0,239.4176028945896,49.99,360
8503007,8.544636,47.418746999999996,442,8503007,8.544636,47.418746999999996,442,0.0,0.0,50.0,120
8503007,8.544636,47.418746999999996,442,8591127,8.545297,47.416789,436,-6.0,224.6395630205822,50.06,360
8503007,8.544636,47.418746999999996,442,8591187,8.543489,47.422878000000004,446,4.0,469.17473513144563,49.96,660
8503007,8.544636,47.418746999999996,442,8591355,8.54837,47.419863,436,-6.0,334.62811285400505,50.06,480
8503008,8.508564999999999,47.420913,456,8503008,8.508564999999999,47.420913,456,0.0,0.0,50.0,120
8503008,8.508564999999999,47.420913,456,8576262,8.506464,47.419222999999995,408,-48.0,261.1136242128689,50.48,420
8503008,8.508564999999999,47.420913,456,8591054,8.507418,47.421184000000004,456,0.0,100.08650909989873,50.0,240
8503008,8.508564999999999,47.420913,456,8591055,8.508507,47.420662,457,1.0,28.34177206501412,49.99,120
8503008,8.508564999999999,47.420913,456,8591153,8.510044,47.421960999999996,454,-2.0,169.49878467065568,50.02,300
8503008,8.508564999999999,47.420913,456,8591407,8.511847,47.424588,447,-9.0,491.58521319003205,50.09,660
8503009,8.533588,47.34744,409,8503009,8.533588,47.34744,409,0.0,0.0,50.0,120
8503009,8.533588,47.34744,409,8503681,8.536699,47.34554,406,-3.0,334.13047088840966,50.03,480
8503009,8.533588,47.34744,409,8591080,8.534345,47.347586,409,0.0,65.0439074441354,50.0,180
8503009,8.533588,47.34744,409,8591081,8.532917999999999,47.347033,411,2.0,71.83162655229994,49.98,180
8503009,8.533588,47.34744,409,8591082,8.531976,47.351468,413,4.0,467.5630252839176,49.96,660
8503009,8.533588,47.34744,409,8591216,8.528213000000001,47.348003999999996,430,21.0,452.08657712137875,49.79,660
8503009,8.533588,47.34744,409,8591241,8.53423,47.350986999999996,409,0.0,398.0094956731074,50.0,540
8503009,8.533588,47.34744,409,8591279,8.530141,47.343947,424,15.0,483.0451804287433,49.85,660
8503009,8.533588,47.34744,409,8591304,8.532958,47.344469000000004,413,4.0,334.5165551279722,49.96,480
