Day,Trip_ID,Type,Line_ID,Start_Station,Start_ID,Start_Time,Start_Delay,Stop_Station,Stop_ID,Stop_Time,Stop_Delay
2019-05-15,85:11:18537:001,Zug,18537,Zürich Hardbrücke,8503020,2019-05-15 10:18:00,91.0,Zürich HB,8503000,2019-05-15 10:21:00,16.0
2019-05-15,85:11:18537:001,Zug,18537,Zürich HB,8503000,2019-05-15 10:24:00,38.0,Zürich Stadelhofen,8503003,2019-05-15 10:26:00,24.0
2019-05-15,85:11:18538:001,Zug,18538,Zürich Stadelhofen,8503003,2019-05-15 10:32:00,88.0,Zürich HB,8503000,2019-05-15 10:35:00,234.0
2019-05-15,85:11:18538:001,Zug,18538,Zürich HB,8503000,2019-05-15 10:39:00,103.0,Zürich Hardbrücke,8503020,2019-05-15 10:41:00,91.0
2019-05-15,85:11:18538:001,Zug,18538,Zürich Hardbrücke,8503020,2019-05-15 10:41:00,129.0,Zürich Altstetten,8503001,2019-05-15 10:44:00,79.0
2019-05-15,85:11:18539:001,Zug,18539,Zürich Altstetten,8503001,2019-05-15 10:46:00,36.0,Zürich Hardbrücke,8503020,2019-05-15 10:48:00,36.0
2019-05-15,85:11:18539:001,Zug,18539,Zürich Hardbrücke,8503020,2019-05-15 10:48:00,79.0,Zürich HB,8503000,2019-05-15 10:51:00,11.0
2019-05-15,85:11:18539:001,Zug,18539,Zürich HB,8503000,2019-05-15 10:54:00,29.0,Zürich Stadelhofen,8503003,2019-05-15 10:56:00,21.0
2019-05-15,85:11:18540:001,Zug,18540,Zürich Stadelhofen,8503003,2019-05-15 11:02:00,95.0,Zürich HB,8503000,2019-05-15 11:05:00,32.0
2019-05-15,85:11:18540:001,Zug,18540,Zürich HB,8503000,2019-05-15 11:09:00,61.0,Zürich Hardbrücke,8503020,2019-05-15 11:11:00,42.0
2019-05-15,85:11:18540:001,Zug,18540,Zürich Hardbrücke,8503020,2019-05-15 11:11:00,96.0,Zürich Altstetten,8503001,2019-05-15 11:14:00,67.0
2019-05-15,85:11:18541:001,Zug,18541,Zürich Altstetten,8503001,2019-05-15 11:16:00,30.0,Zürich Hardbrücke,8503020,2019-05-15 11:18:00,29.0
2019-05-15,85:11:18541:001,Zug,18541,Zürich Hardbrücke,8503020,2019-05-15 11:18:00,60.0,Zürich HB,8503000,2019-05-15 11:21:00,-15.0
2019-05-15,85:11:18541:001,Zug,18541,Zürich HB,8503000,2019-05-15 11:24:00,23.0,Zürich Stadelhofen,8503003,2019-05-15 11:26:00,16.0
2019-05-15,85:11:18542:001,Zug,18542,Zürich Stadelhofen,8503003,2019-05-15 11:32:00,30.0,Zürich HB,8503000,2019-05-15 11:35:00,-36.0
2019-05-15,85:11:18542:001,Zug,18542,Zürich HB,8503000,2019-05-15 11:39:00,24.0,Zürich Hardbrücke,8503020,2019-05-15 11:41:00,10.0
2019-05-15,85:11:18542:001,Zug,18542,Zürich Hardbrücke,8503020,2019-05-15 11:41:00,53.0,Zürich Altstetten,8503001,2019-05-15 11:44:00,26.0
2019-05-15,85:11:18543:001,Zug,18543,Zürich Altstetten,8503001,2019-05-15 11:46:00,40.0,Zürich Hardbrücke,8503020,2019-05-15 11:48:00,61.0
2019-05-15,85:11:18543:001,Zug,18543,Zürich Hardbrücke,8503020,2019-05-15 11:48:00,112.0,Zürich HB,8503000,2019-05-15 11:51:00,43.0
2019-05-15,85:11:18543:001,Zug,18543,Zürich HB,8503000,2019-05-15 11:54:00,32.0,Zürich Stadelhofen,8503003,2019-05-15 11:56:00,33.0
2019-05-15,85:11:18544:001,Zug,18544,Zürich Stadelhofen,8503003,2019-05-15 12:02:00,95.0,Zürich HB,8503000,2019-05-15 12:05:00,25.0
2019-05-15,85:11:18544:001,Zug,18544,Zürich HB,8503000,2019-05-15 12:09:00,31.0,Zürich Hardbrücke,8503020,2019-05-15 12:11:00,12.0
